ntee,description,title,keywords/0,keywords/1,keywords/2,keywords/3,keywords/4,keywords/5,keywords/6,keywords/7,keywords/8,keywords/9,keywords/10,keywords/11,keywords/12,keywords/13,keywords/14,keywords/15,keywords/16,keywords/17,keywords/18,keywords/19,keywords/20,keywords/21,keywords/22,keywords/23,keywords/24,keywords/25,keywords/26,keywords/27,keywords/28,keywords/29,keywords/30,keywords/31,keywords/32,keywords/33,keywords/34,keywords/35,keywords/36,keywords/37,keywords/38,keywords/39,keywords/40,keywords/41,keywords/42,keywords/43,keywords/44,keywords/45,keywords/46,keywords/47,keywords/48,keywords/49,keywords/50,keywords/51,keywords/52,keywords/53,keywords/54,keywords/55,keywords/56,keywords/57,keywords/58,keywords/59,keywords/60,keywords/61,keywords/62,keywords/63,keywords/64,keywords/65,keywords/66,keywords/67,keywords/68,keywords/69,keywords/70,keywords/71,keywords/72,keywords/73,keywords/74,keywords/75,keywords/76,keywords/77,keywords/78,keywords/79,keywords/80,keywords/81,keywords/82,keywords/83,keywords/84,keywords/85,keywords/86,keywords/87,keywords/88,keywords/89,keywords/90,keywords/91,keywords/92,keywords/93,keywords/94,keywords/95,keywords/96,keywords/97,keywords/98,keywords/99,keywords/100,keywords/101,keywords/102,keywords/103,keywords/104,keywords/105,keywords/106,keywords/107,keywords/108,keywords/109,keywords/110,keywords/111,keywords/112,keywords/113,keywords/114,keywords/115,keywords/116,keywords/117,keywords/118,keywords/119,keywords/120,keywords/121,keywords/122,keywords/123,keywords/124,keywords/125,keywords/126,keywords/127,keywords/128,keywords/129,keywords/130,keywords/131,keywords/132,keywords/133,keywords/134,keywords/135,keywords/136,keywords/137,keywords/138,keywords/139,keywords/140,keywords/141,keywords/142,keywords/143,keywords/144,keywords/145,keywords/146,keywords/147,keywords/148,keywords/149,keywords/150,keywords/151,keywords/152,keywords/153,keywords/154,keywords/155,keywords/156,keywords/157,keywords/158,keywords/159,keywords/160,keywords/161,keywords/162,keywords/163,keywords/164,keywords/165,keywords/166,keywords/167,keywords/168,keywords/169,keywords/170,keywords/171,keywords/172,keywords/173,keywords/174,keywords/175,keywords/176,keywords/177,keywords/178,keywords/179,keywords/180,keywords/181,keywords/182,keywords/183,keywords/184,keywords/185,keywords/186,keywords/187,keywords/188,keywords/189,keywords/190,keywords/191,keywords/192,keywords/193,keywords/194,keywords/195,keywords/196,keywords/197,keywords/198,keywords/199,keywords/200,keywords/201,keywords/202,keywords/203,keywords/204,keywords/205,keywords/206,keywords/207,keywords/208,keywords/209,keywords/210,keywords/211,keywords/212,keywords/213,keywords/214,keywords/215,keywords/216,keywords/217,keywords/218,keywords/219,keywords/220,keywords/221,keywords/222,keywords/223,keywords/224
E19,"Organizations that provide all forms of support except for financial assistance, fund raising, or patient care services for other organizations within the Health General and Rehabilitative major group area.",Support N.E.C.,501(e) Cooperative Hospital Service Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E20,Twenty-four hour medical institutions that provide diagnostic and treatment services for people whose illnesses require an overnight stay. Most hospitals also provide a variety of services on an outpatient basis. Use this code for hospitals not specified below.,Hospitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E21,"Multihospital health care systems that have two or more hospitals owned, leased, sponsored, or managed by a central organization.  Also includes parent companies of diversified single hospital systems that provide comprehensive management and support services for the hospital. (rev. 9/2005)",Community Health Systems,Community-Based Health Services,Health Care Systems,Hospital Management Corporations,Multihospital Health Care Systems,Multihospital Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E22,"Health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention.",General Hospitals,Acute Care Critical Access Hospitals,Acute Care Hospitals,Acute Care Medical Faciltities,Acute Care Medical Centers,Cardiac Intensive Care,Coronary Intensive Care,Emergency Rooms,Emergicenters,General Acute Care Hospitals,General Hospitals,General Intensive Care,High Risk Infant Unit Care,Hospital Emergency Care,Hospital-Based Emergency Care,ICUs,Inpatient Hospital Care,Intensive Care,Medical Centers,Military Hospitals,Neonatal Intensive Care,Neurological Intensive Care,Osteopathic hospitals,Pediatric Intensive Care,Premature Nurseries,Respiratory Intensive Care,State Hospitals,Subacute Care Hospitals,Surgical Intensive Care,Trauma Centers,Veterans Hospitals ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E24,Health care facilities like orthopedic hospitals or cancer hospitals that provide diagnostic and treatment services on an inpatient basis for people who have specified medical conditions.,Specialty Hospitals,Cancer Hospitals,Childrens Hospitals,,Extended Care Hospitals,Eye Hospitals,Maternity Hospitals,Orthopedic Hospitals,Rehabilitation Hospitals,Shriners Hospitals,Specialty Hospitals,Womens Hospitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E30,"Health centers, clinics, and other facilities that provide walk-in, walk-out diagnostic and treatment services for people whose care does not require confinement or a hospital stay. Use this code for types of outpatient facilities or services not specified below.",Ambulatory & Primary Health Care,Acupuncture,Alternative Health Clinics,Ambulatory Surgical Centers,Ambulatory Surgery,Biofeedback,Burn Centers,Burn Institutes,Chiropractic,Day Surgery,Dental Clinics,Dental Care,Diagnostic Facilities,Diagnostic Imaging,Dialysis Centers,Eye Screening Clinics,Foot Clinics,Herbal Medicine,Homeopathic Medicine,Hospital-Based Outpatient Care,Infant Care Clinics,Infant Centers,Medical Testing Laboratories,Mobile Dental Care,Naturopathic Medicine,Neonatal Care Clinics,Neonatal Centers,Optometry Clinics,Outpatient Care,Outpatient Surgery,Pain Management,Podiatry,Rural Health Care,Rural Medical Service,Traditional Healing Arts,Well Baby Care,Well Baby Clinics,Well-Baby Care,Well-Baby Clinics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E31,"Organizations that provide both health care services and underwrite health and medical insurance. Also included are medical groups which provide health care for HMO members on a contract with the HMO and physician practice groups generally associated with teaching, research, and public hospitals.",Group Health Practices,Group Health Practices,Health Maintenance Organizations,HMOs,Managed Care,Managed Health Care,Primary Health Care Providers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E32,"Outpatient facilities, many previously known as free clinics, established by the community rather than a hospital which provide basic medical care including physical examinations, immunizations, family planning, nutrition assistance and diagnosis and treatment of common ailments. Services are available on an ability-to-pay basis and target low-income and indigent community residents.",Community Clinics,Ambulatory Health Centers,Clinics,Community Clinics,Community Health Centers,Community Health Clinics,Free Clinics,Health Centers,Health Clinics,Mobile Health Care,Walk-in Clinics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E40,"Organizations that provide medical, educational and counseling services which relate to the conception, delivery and care of offspring. Use this code for organizations other than family planning centers that offer reproductive health services.",Reproductive Health Care,Abortion Clinics,Alternative Birthing Services,Birth Education,Birth Orientation,Birthing Centers,Childbirth Preparation Centers,Delivery/Childbirth Services,Early Pregnancy Classes,Fertility Treatment Centers,Genetic Counseling,Human Sexuality Counseling,Human Sexuality Education,Infertility Treatment,Lamaze,Maternal and Infant Care,Maternity Care,Midwifery,Natural Childbirth Education,Neonatal Care,Newborn Infant Care,Obstetrics and Gynecology Clinics,Post Abortion Care,Postpartum Care,Pregnancy Termination Clinics,Prenatal Care Centers,Prenatal Counseling,Pro-Choice Counseling,Pro-Life Counseling,Right to Life Counseling,Safe Sex,Sex Education,Voluntary Sterilization Centers,Sterilization,Womens Health Centers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E42,"Organizations that provide assistance for people who want to control the size of their families and the spacing of their children, either through some form of birth control or naturally. Use this code for Planned Parenthood organizations.",Family Planning,Birth Control,Birth Spacing,Contraception,Contraceptives,Family Planning,Natural Family Planning,Planned Parenthood,Pregnancy Prevention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E50,"Organizations that provide, on an outpatient basis, a combination of treatment and education services to restore maximum functioning, a sense of well-being and a personally satisfying level of independence for individuals who have temporary or permanent disabilities. Use this code for Easter Seal Society. ",Rehabilitative Care,Art Therapy,Audiological evaluations,Auditory Training,Corrective Therapy,Cued Speech Instruction,Easter Seal Societies,Equestrian Therapy,Equine-facilitated Therapy,Equine Therapy,Dance Therapy,Easter Seal Society,Finger Spelling Instruction,Hippo Therapy,Horse Therapy,Hydrotherapy,Kinesiology,Language Therapy,Music Therapy,Occupational Therapy,Oral Communication Instruction,Pediatric Occupational Therapy,Physical Therapy,Sign Language Instruction,Speech and Hearing Centers,Speech and Language Evaluations,Speech Therapy,Therapeutic Horseback Riding,Therapeutic Horsemanship,Therapeutic Riding,Total Communication Instruction,Water Therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E60,"Organizations that provide equipment, services or other forms of support which are supplemental to the treatment or rehabilitation of people who have illnesses, injuries or disabilities; or which are instrumental in the prevention of illnesses, injuries or disabilities prior to their occurrence. Use this code for organizations that provide a wide range of health support services or which offer services not specified below.",Health Support,Cooperative Hospital Services,Pharmaceutical Services,Pharmacies,Pharmacology,"Shock, Trauma Programs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E61,"Organizations that acquire, process, type, transport and store whole blood and blood products including red blood cells, white blood cells, platelets and plasma constituents for use by people who need transfusions; and which conduct pretransfusion compatibility tests to ensure that blood transfusions, when necessary, are as safe as possible.",Blood Banks,Blood Banks,Blood Donations,Blood Donor Stations,Blood Drives,Blood Supply,Plasma Supply,Whole Blood Substitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E62,"Organizations that provide pre-hospital emergency medical care and rapid transportation to health care facilities.
",Emergency Medical Services & Transport,Advanced Life Support,Ambulance,Ambulance Transport,"Basic Life Support,",Emergency Medical Air Transport,Emergency Medical Care,Emergency Medical Services,Emergency Medical Technicians,Emergency Medical Transport,Emergency Medical Vehicle,EMS,EMT,First Aid Squads,First Responders,Life Squad,Lifelines,Mercy Flights,Rescue Squads,Trauma Care,Trauma Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E65,"Organizations that accept donated hearts, kidneys, livers, skin and other organs and tissue for use in transplant operations.",Organ & Tissue Banks,Anatomical Gifts,Body Donations,Bone Banks,Bone Marrow Donations,Ear Banks,Eye Banks,Organ Banks,Organ Donations,Tissue Banks,Tissue Donations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E70,"Organizations that inform the public of health and safety hazards and measures for furthering the early detection, treatment or rehabilitation of people who have an illness, injury or disability.",Public Health,Biohazards Research,Biostatistics,Centers for Disease Control,Childhood Immunizations,Communicable Diseases Control and Prevention,Community Health Promotion,Community Wellness,Disease Outbreaks,Diseases Control and Prevention,Employee Health,Environmental Health Hazards,Environmental Health,Environmental Medicine,Environmental Toxicology,Epidemiology,Ergonomics,Flu Shots,Foreign Travel Shots,Health Biostatistics,Health Fairs,Health Maintenance,Health Promotion,Health Screening,Immunizations,Industrial Hygiene,Industrial Medicine,Industrial Safety,Inoculations,International Health,International Public Health,Mass Health Screening,Medical Biostatistics,National Health,National Institutes of Health,Occupation Health Promotion,Occupational Health and Safety,Occupational Safety,Preventive Health,Public Health Medicine,"Sexually Transmitted  Disease Control, Prevention",Surgeon General,Vaccinations,"Venereal Disease Control, Prevention",Virology,Wellness,Worker Health,Workplace Health Promotion,Workplace Safety,Workplace Wellness,Worksite Wellness,World Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E80,Organizations that are concerned primarily with one or more aspects of health financing or that provide services which relate to health care in general.,Health (General & Financing),Advance Care Planning,Advance Directives Planning,Advance Health Care Planning,Advance Medical Planning,Black Lung Benefits Trust,End of life Care Planning,End of life Planning,End-of-life Care Planning,End-of-life Planning,AIDS Drug Assistance,Black Lung Benefit Trusts,Health Care Cost Containment,Bioethics,Health Care Costs,Health Care Economics,Health Care Fees & Charges,Health Care Financing,Health Insurance,Health Insurance Counseling,Health Insurance Premium Assistance,HMO Financing,Hospital Bill Assistance,Medical Bioethics,Medical Care Costs,Medical Ethics,Medical Expense Assistance,Medical Sociology,Medicare Counseling,Medigap Insurance Counseling,Medication Expense Assistance,Patient Care Planning,Patient Services,Prepaid Health Care,Prescription Drug Costs,Prescription Expense Assistance,Ryan White Consortium,State-Sponsored High-Risk Health Coverage,Treatment Costs,Terminal Care Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E86,"Organizations that provide support services to patients and their families.  Programs can include social and recreational activities for people who are recovering from surgery or a serious illnesses; supportive services for children who are ill and for their families which enable family members to remain with a child who is hospitalized; family and sibling support groups, and programs which attempt to make a gravely or terminally ill childs final days, weeks and months more pleasant. (rev. 9/2005)",Patient & Family Support,Caregiver Support,Caregiver Training,Cancer Lodges,Health Care Counseling,Health Resocialization,Hostels,Hospital Lodges,Hospitality Houses,Make-a-Wish,Medical Apartments,Medical Treatment Lodges,Patient Entertainment,Patient Housing,Patient/ Family Housing,Patient/Family Enrichment,Patient Recreation,Patient Services Counseling,Ronald McDonald Houses,Wish Foundations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E90,Organizations that provide nursing care on an inpatient or home-care basis for people who need continuous care but are not in an acute phase of their illness. Use this code for organizations that provide nursing services that are not specified below.,Nursing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E91,"Inpatient facilities, also known as convalescent hospitals and nursing homes, that provide skilled nursing and personal care over an extended period of time for people who are no longer in an acute phase of their illness.",Nursing Facilities,Adult Family Care Homes,Alzheimers Homes,Chronic Care Homes,Convalescent Facilities,Convalescent Hospitals,Extended Care Facilities,Geriatric Centers,Homes for Aging,Intermediate Care Facilities,Long Term Care Facilities,Long Term Custodial Care,Long-Term Care Facilities,Long-Term Custodial Care,Nursing Care,Nursing Home Facilities,Nursing Homes,Rest Homes,Skilled Nursing Facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92,"Visiting nurse associations and other similar organizations that provide skilled nursing care and related health services on a home care basis for recently discharged hospital patients, and elderly or disabled individuals who may otherwise be institutionalized.",Home Health Care,Geriatric Home Nursing,Home Infusion Therapy,Home Care Services,Home Infusion Therapy,Home Nursing Care,Medical/Surgical Home Nursing,Oncology Home Nursing,Pediatric Home Nursing,Private Duty Nursing,Psychiatric Home Nursing,Registered Home Nursing,Rehabilitation Home Nursing,Restorative Home Nursing,Visiting Doctors,Visiting Nurses,Visiting Physicians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E99,Use this code for organizations that clearly provide medical care services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.,Health Care N.E.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,Mental Health & Crisis Intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F01,"Organizations whose activities focus on influencing public policy within the Mental Health, Crisis Intervention major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures.",Alliances & Advocacy,Lobbying,Mental Health Alliances,Mental Health Coalitions,Public Awareness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F02,"Consultation, training, and other forms of management assistance services to nonprofit groups within the Mental Health, Crisis Intervention major group area.",Management & Technical Assistance,Professional Continuing Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03,"Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Mental Health, Crisis Intervention major group area.",Professional Societies & Associations,D A R E Officers,D.A.R.E. Officers,DARE Officers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F05,"Organizations whose primary purpose is to conduct research and/or public policy research within the Mental Health, Crisis Intervention major group area.",Research Institutes & Public Policy Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F11,Organizations existing as a support and fund-raising entity for a single institution within the Mental Health & Crisis Intervention major group area.,Single Organization Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F12,"Organizations that raise and distribute funds for multiple organizations within the Mental Health, Crisis Intervention major group area.",Fund Raising & Fund Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F19,"Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within Mental Health, Crisis Intervention major group area.",Support N.E.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F20,"Organizations that provide preventive, diagnostic and inpatient, outpatient and residential treatment services as well as transitional support for people who have a physical and/or psychological dependency on alcohol and/or drugs. Use this code for organizations that provide both substance abuse prevention and treatment services.","Substance Abuse Dependency, Prevention & Treatment",Addiction,Alcohol Abuse,Alcoholism,Chemical Dependency,Drug Abuse,Drug Addiction,Substance Abuse,Substance Dependence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
