"ntee","description","definition","BroadCategory","MajorGroup","two.digit","type.org","two.digit.s","tens","ones","hosp","univ"
"F53","Eating Disorders & Addictions","Organizations that provide diagnostic and treatment services for individuals who have anorexia nervosa, bulimarexia, bulimia or a related eating disorder.",4,"F","53","regular","53","5","3",FALSE,FALSE
"F54","Gambling Addiction","Organizations that provide emotional support, information and guidance for people who are having difficulty controlling their compulsion to gamble.",4,"F","54","regular","54","5","4",FALSE,FALSE
"F60","Counseling","Organizations that provide treatment services which may include emotional support, problem-solving assistance, information and guidance through a variety of counseling modalities for individuals who are having difficulty in coping with a traumatic experience or a personal relationship or in making the adjustments that are required by their particular stage in life.",4,"F","60","regular","60","6","0",FALSE,FALSE
"F70","Mental Health Disorders","Organizations that provide preventive, diagnostic and treatment services that focus on a particular mental health disorder.",4,"F","70","regular","70","7","0",FALSE,FALSE
"F80","Mental Health Associations","Organizations whose purpose is to promote social conditions that enhance the potential in the community for good mental health and to improve methods and facilities for treating mental illness.",4,"F","80","regular","80","8","0",FALSE,FALSE
"F99","Mental Health & Crisis Intervention N.E.C.","Use this code for organizations that clearly provide mental health services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.",4,"F","99","regular","99","9","9",FALSE,FALSE
"G01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Voluntary Health Associations and Medical Disciplines major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures.",4,"G","01","speciality","01","0","1",FALSE,FALSE
"G02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Voluntary Health Associations and Medical Disciplines major group area.",4,"G","02","speciality","02","0","2",FALSE,FALSE
"G03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Voluntary Health Associations and Medical Disciplines major group area.",4,"G","03","speciality","03","0","3",FALSE,FALSE
"G05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy research within the Voluntary Health Associations and Medical Disciplines major group area.",4,"G","05","speciality","05","0","5",FALSE,FALSE
"G11","Single Organization Support","Organizations existing as a support and fund-raising entity for a single institution within the Voluntary Health Associations and Medical Disciplines major group area.",4,"G","11","speciality","11","0","1",FALSE,FALSE
"G12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Voluntary Health Associations and Medical Disciplines major group area.",4,"G","12","speciality","12","0","2",FALSE,FALSE
"G19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Voluntary Health Associations and Medical Disciplines major group area.",4,"G","19","speciality","19","0","9",FALSE,FALSE
"G20","Birth Defects & Genetic Diseases","Voluntary health organizations active in the prevention or treatment of illnesses or conditions that are hereditary and passed from parent to offspring. Use this code for organizations that focus on a wide variety of genetic disorders or on genetic disorders not specified below.",4,"G","20","regular","20","2","0",FALSE,FALSE
"G25","Down Syndrome","Voluntary health organizations active in the prevention or treatment of Down Syndrome, a hereditary condition that results in mental retardation.",4,"G","25","regular","25","2","5",FALSE,FALSE
"G30","Cancer","Voluntary health organizations active in the prevention or treatment of cancer. The associated medical specialty is medical oncology, a subspecialty of internal medicine.",4,"G","30","regular","30","3","0",FALSE,FALSE
"G32","Breast Cancer","Voluntary health organizations active in the prevention or treatment of breast cancer.",4,"G","32","regular","32","3","2",FALSE,FALSE
"G40","Diseases of Specific Organs","Voluntary health organizations active in the prevention or treatment of diseases and conditions that affect specific organs or organ systems in the body. Use this code for organizations that focus on diseases that affect a wide range of organs or organ systems or on those not specified below.",4,"G","40","regular","40","4","0",FALSE,FALSE
"G41","Eye Diseases, Blindness & Vision Impairments","Voluntary health organizations active in the prevention or treatment of blindness and diseases or other conditions that affect the eyes. The associated medical specialty is ophthalmology.",4,"G","41","regular","41","4","1",FALSE,FALSE
"G42","Ear & Throat Diseases","Voluntary health organizations active in the prevention or treatment of diseases or conditions that affect the head and neck including the ears, the respiratory and upper alimentary systems, the face, the jaws and related structures. The related medical specialty is otolaryngology.",4,"G","42","regular","42","4","2",FALSE,FALSE
"G43","Heart & Circulatory System Diseases & Disorders","Voluntary health organizations active in the prevention or treatment of diseases or conditions, including stroke, that affect the heart, lungs and blood vessels. The related medical specialty is cardiovascular medicine, a subspecialty of internal medicine.",4,"G","43","regular","43","4","3",FALSE,FALSE
"G44","Kidney Diseases","Voluntary health organizations active in the prevention or treatment of diseases or conditions that affect the kidneys. The related medical specialty is nephrology, a subspecialty of internal medicine.",4,"G","44","regular","44","4","4",FALSE,FALSE
"G45","Lung Diseases","Voluntary health organizations active in the prevention or treatment of diseases or conditions that affect the lungs. The related medical specialty is pulmonary disease specialists.",4,"G","45","regular","45","4","5",FALSE,FALSE
"G48","Brain Disorders","Voluntary health organizations active in the prevention or treatment of diseases or conditions including brain injuries that affect the brain.",4,"G","48","regular","48","4","8",FALSE,FALSE
"G50","Nerve, Muscle & Bone Diseases","Voluntary health organizations active in the prevention or treatment of diseases or conditions that affect the nerves, muscles or bones. Use this code for organizations that focus on a wide variety of nerve, muscle and bone diseases or those not specified below. The related medical specialty is orthopedic surgery.",4,"G","50","regular","50","5","0",FALSE,FALSE
"G51","Arthritis","Voluntary health organizations active in the prevention or treatment of arthritis (including osteoarthritis and rheumatoid arthritis), an inflammatory condition affecting the joints. The related medical specialty is rheumatology, a subspecialty of internal medicine, though rheumatology is broader and covers more conditions than arthritis.",4,"G","51","regular","51","5","1",FALSE,FALSE
"G54","Epilepsy","Voluntary health organizations active in the prevention or treatment of epilepsy, a recurrent paroxysmal disorder of cerebral function that is characterized by sudden brief interruptions in or complete loss of consciousness, motor activity and/or sensory phenomena.",4,"G","54","regular","54","5","4",FALSE,FALSE
"G60","Allergy-Related Diseases","Voluntary health organizations active in the prevention or treatment of diseases and conditions that involve hypersensitivity to substances that do not normally cause a reaction.",4,"G","60","regular","60","6","0",FALSE,FALSE
"G61","Asthma","Voluntary health organizations active in the prevention or treatment of asthma, a disorder of the bronchial system that is characterized by labored breathing and wheezing.",4,"G","61","regular","61","6","1",FALSE,FALSE
"G70","Digestive Diseases & Disorders","Voluntary health organizations active in the prevention or treatment of diseases and conditions such as abdominal pain, ulcers, diarrhea or jaundice that affect the digestive system including the stomach, bowels, liver, gallbladder and related organs. The related medical specialty is gastroenterology, a subspecialty of internal medicine.",4,"G","70","regular","70","7","0",FALSE,FALSE
"G80","Specifically Named Diseases","Voluntary health organizations active in the prevention or treatment of specifically named diseases and conditions. Use this code for named diseases not specified below.",4,"G","80","regular","80","8","0",FALSE,FALSE
"G81","AIDS","Voluntary health organizations active in the prevention or treatment of AIDS, a disease that impairs the functioning of the bodys immune system, leaving affected individuals vulnerable to illnesses that would not otherwise occur.",4,"G","81","regular","81","8","1",FALSE,FALSE
"G83","Alzheimers Disease","Voluntary health organizations active in the prevention or treatment of Alzheimers disease, a form of presenile dementia which is caused by atrophy of the frontal and occipital lobes of the brain.",4,"G","83","regular","83","8","3",FALSE,FALSE
"G84","Autism","Voluntary health organizations active in the prevention or treatment of autism, a developmental disability, usually evident by age three, which affects a childs ability to communicate, understand language, play and relate to others.",4,"G","84","regular","84","8","4",FALSE,FALSE
"G90","Medical Disciplines","Organizations that represent physicians who have special training and expertise in one clinical area of practice which focuses on a specific age group, an organ system of the body, or on complex scientific techniques developed to diagnose or treat certain types of disorders. Use this code for organizations that represent a wide variety of medical disciplines or those that are not specified below.",4,"G","90","regular","90","9","0",FALSE,FALSE
"G92","Biomedicine & Bioengineering","Organizations that represent physicians who have advanced training in the development, implantation and utilization of cardiac pacemakers, cochlear implants and other hearing aids, artificial limbs and joints and other similar devices.",4,"G","92","regular","92","9","2",FALSE,FALSE
"G94","Geriatrics","Organizations that represent physicians who have advanced training in the medical specialty which provides preventive, diagnostic and treatment services for elderly individuals who have diseases and conditions that are associated with the aging process.",4,"G","94","regular","94","9","4",FALSE,FALSE
"G96","Neurology & Neuroscience","Organizations that represent physicians who have advanced training in the medical specialty which provides comprehensive medical management including preventive, diagnostic and treatment services for individuals who have diseases or injuries that affect the central, peripheral or autonomic nervous systems including the brain, cranial nerves, spinal cord, spinal nerves and other related structures.",4,"G","96","regular","96","9","6",FALSE,FALSE
"G98","Pediatrics","Organizations that represent physicians who have advanced training in the biological, social and environmental factors that have an influence on a developing child and expertise in diagnosing and treating acute and chronic diseases that are common to children and youth.",4,"G","98","regular","98","9","8",FALSE,FALSE
"G99","Voluntary Health Associations & Medical Disciplines N.E.C.","Use this code for organizations that clearly provide services related to diseases, disorders or medical spcialities where the major purpose is unclear enough that a more specific code cannot be accurately assigned.",4,"G","99","regular","99","9","9",FALSE,FALSE
"G9B","Surgical Specialties","Organizations that represent physicians who have advanced training in the medical specialty which diagnoses conditions which require surgical intervention and provide preoperative, operative and postoperative care for surgical patients.",4,"G","9B","regular","9B","9","B",FALSE,FALSE
"H01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Medical Research major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures.",4,"H","01","speciality","01","0","1",FALSE,FALSE
"H02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Medical Research major group area.",4,"H","02","speciality","02","0","2",FALSE,FALSE
"H03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Medical Research major group area.",4,"H","03","speciality","03","0","3",FALSE,FALSE
"H05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy research within the Medical Research major group area.",4,"H","05","speciality","05","0","5",FALSE,FALSE
"H11","Single Organization Support","Organizations existing as a support and fund-raising entity for a single institution within the Medical Research major group area.",4,"H","11","speciality","11","0","1",FALSE,FALSE
"H12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Medical Research major group area.",4,"H","12","speciality","12","0","2",FALSE,FALSE
"H19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Medical Research major group area.",4,"H","19","speciality","19","0","9",FALSE,FALSE
"H20","Birth Defects & Genetic Diseases Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of any of a number of illnesses or conditions that are hereditary and passed from parent to offspring.",4,"H","20","regular","20","2","0",FALSE,FALSE
"H25","Down Syndrome Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of Down Syndrome, a hereditary condition that results in mental retardation.",4,"H","25","regular","25","2","5",FALSE,FALSE
"H30","Cancer Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of cancer. Use this code for organizations whose research focuses on a wide variety of forms of cancer.",4,"H","30","regular","30","3","0",FALSE,FALSE
"H32","Breast Cancer Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of breast cancer.",4,"H","32","regular","32","3","2",FALSE,FALSE
"H40","Diseases of Specific Organs Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions that affect specific organs or organ systems in the body. Use this code for organizations whose research focuses on diseases that affect a wide range of organs or organ systems or on those not specified below.",4,"H","40","regular","40","4","0",FALSE,FALSE
"H41","Eye Diseases, Blindness & Vision Impairments Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions that affect eyes. The associated medical specialty is ophthalmology.",4,"H","41","regular","41","4","1",FALSE,FALSE
"H42","Ear & Throat Diseases Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions that affect the head and neck including the ears, the respiratory and upper alimentary systems, the face, the jaws and related structures. The related medical specialty is otolaryngology.",4,"H","42","regular","42","4","2",FALSE,FALSE
"H43","Heart & Circulatory System Diseases & Disorders Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases or conditions, including stroke, that affect the heart, lungs and blood vessels. The related medical specialty is cardiovascular medicine, a subspecialty of internal medicine.",4,"H","43","regular","43","4","3",FALSE,FALSE
"H44","Kidney Diseases Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions that affect the kidneys. The related medical specialty is nephrology, a subspecialty of internal medicine.",4,"H","44","regular","44","4","4",FALSE,FALSE
"H45","Lung Diseases Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions that affect the lungs. The related medical specialty is pulmonary disease specialists.",4,"H","45","regular","45","4","5",FALSE,FALSE
"H48","Brain Disorders Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions that affect the brain.",4,"H","48","regular","48","4","8",FALSE,FALSE
"H50","Nerve, Muscle & Bone Diseases Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases or conditions that affect the nerves, muscles or bones. Use this code for organizations whose research focuses on a wide variety of nerve, muscle or bone diseases or on those not specified below. The related medical specialty is orthopedic surgery.",4,"H","50","regular","50","5","0",FALSE,FALSE
"H51","Arthritis Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of arthritis (including osteoarthritis and rheumatoid arthritis), an inflammatory condition affecting the joints. The related medical specialty is rheumatology, a subspecialty of internal medicine, though rheumatology is broader and covers more conditions than arthritis.",4,"H","51","regular","51","5","1",FALSE,FALSE
"H54","Epilepsy Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of epilepsy, a recurrent paroxysmal disorder of cerebral function that is characterized by sudden brief interruptions in or complete loss of consciousness, motor activity and/or sensory phenomena.",4,"H","54","regular","54","5","4",FALSE,FALSE
"H60","Allergy-Related Diseases Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions that involve hypersensitivity to substances that do not normally cause a reaction. Use this code for organizations whose research focuses on a wide variety of allergy-related diseases or on specific allergy-related diseases.",4,"H","60","regular","60","6","0",FALSE,FALSE
"H61","Asthma Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of asthma, a disorder of the bronchial system that is characterized by labored breathing and wheezing.",4,"H","61","regular","61","6","1",FALSE,FALSE
"H70","Digestive Diseases & Disorders Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions such as abdominal pain, ulcers, diarrhea or jaundice that affect the digestive system including the stomach, bowels, liver, gallbladder and related organs. The related medical specialty is gastroenterology, a subspecialty of internal medicine.",4,"H","70","regular","70","7","0",FALSE,FALSE
"H80","Specifically Named Diseases Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of specifically named diseases and conditions. Use this code for organizations that conduct research on a multiplicity of named diseases or on named diseases not specified below.",4,"H","80","regular","80","8","0",FALSE,FALSE
"H81","AIDS Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of AIDS, a disease that impairs the functioning of the bodys immune system, leaving affected individuals vulnerable to illnesses that would not otherwise occur.",4,"H","81","regular","81","8","1",FALSE,FALSE
"H83","Alzheimers Disease Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of Alzheimers disease, a form of presenile dementia which is caused by atrophy of the front and occipital lobes of the brain.",4,"H","83","regular","83","8","3",FALSE,FALSE
"H84","Autism Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of autism, a developmental disability, usually evident by age three, which affects a childs ability to communicate, understand language, play and relate to others.",4,"H","84","regular","84","8","4",FALSE,FALSE
"H90","Medical Disciplines Research","Organizations that conduct research which can be used to improve the options available to physicians who have special training and expertise in one clinical area of practice which focuses on a specific age group, an organ system of the body, or complex scientific techniques developed to diagnose or treat certain types of disorders. Use this code for organizations whose research covers a wide variety of medical disciplines or those that are not specified below.",4,"H","90","regular","90","9","0",FALSE,FALSE
"H92","Biomedicine & Bioengineering Research","Organizations that conduct research which can be used to improve the options available to physicians who have advanced training in the development, implantation and utilization of cardiac pacemakers, cochlear implants and other hearing aids, artificial limbs and joints and other similar devices.",4,"H","92","regular","92","9","2",FALSE,FALSE
"H94","Geriatrics Research","Organizations that conduct research which can be used to improve the options available to physicians who have advanced training in the medical specialty which provides preventive, diagnostic and treatment services for elderly individuals who have diseases or conditions that are associated with the aging process.",4,"H","94","regular","94","9","4",FALSE,FALSE
"H96","Neurology & Neuroscience Research","Organizations that conduct research which can be used to improve the options available to physicians who have advanced training in the medical specialty which provides comprehensive medical management including preventive, diagnostic and treatment services for individuals who have diseases or injuries that affect the central, peripheral or autonomic nervous systems including the brain, cranial nerves, spinal cord, spinal nerves and other related structures.",4,"H","96","regular","96","9","6",FALSE,FALSE
"H98","Pediatrics Research","Organizations that conduct research which can be used to improve the options available to physicians who have advanced training in the biological, social and environmental factors that have an influence on a developing child and expertise in diagnosing and treating acute and chronic diseases that are common to children and youth.",4,"H","98","regular","98","9","8",FALSE,FALSE
"H99","Medical Research N.E.C.","Use this code for organizations that clearly provide services related to research regarding diseases, disorders or medical specialties where the major purpose is unclear enough that a more specific code cannot be accurately assigned.",4,"H","99","regular","99","9","9",FALSE,FALSE
"H9B","Surgical Specialties Research","Organizations that conduct research which can be used to improve the options available to physicians who have advanced training in the medical specialty which diagnoses conditions which require surgical intervention and provide preoperative, operative and postoperative care for surgical patients.",4,"H","9B","regular","9B","9","B",FALSE,FALSE
"I01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Crime, Legal Related major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures.",5,"I","01","speciality","01","0","1",FALSE,FALSE
"I02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Crime, Legal Related major group area.",5,"I","02","speciality","02","0","2",FALSE,FALSE
"I03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Crime, Legal Related major group area.",5,"I","03","speciality","03","0","3",FALSE,FALSE
"I05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy research within the Crime, Legal Related major group area.",5,"I","05","speciality","05","0","5",FALSE,FALSE
"I11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the Crime & Legal-Related major group area.",5,"I","11","speciality","11","0","1",FALSE,FALSE
"I12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Crime, Legal Related major group area.",5,"I","12","speciality","12","0","2",FALSE,FALSE
"I19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Crime, Legal Related major group area.",5,"I","19","speciality","19","0","9",FALSE,FALSE
"I20","Crime Prevention","Organizations that provide information and services that help the public protect themselves from crime or which prevent its occurrence. Also included are organizations that provide a mechanism for reporting crimes. Use this code for crime prevention programs not specified below.",5,"I","20","regular","20","2","0",FALSE,FALSE
"I21","Youth Violence Prevention","Organizations that offer a variety of activities for youth who have demonstrated or are at risk for behavior which is likely to be unlawful or to involve them in the juvenile justice system. Also included are community councils, coalitions and other groups whose primary purpose is to prevent delinquency.",5,"I","21","regular","21","2","1",FALSE,FALSE
"I23","Drunk Driving-Related","Organizations that provide first and multiple offender drunk driving programs for adults and juveniles or which offer transportation services for drinking drivers. Also includes community action groups like MADD that are against drunk driving.",5,"I","23","regular","23","2","3",FALSE,FALSE
"I30","Correctional Facilities","Privately operated, community-based nonprofit correctional facilities for adults or juveniles who have been sentenced to imprisonment after conviction for an offense. These facilities serve the same function as government-operated programs, and most operate on a contract with the county or the state.",5,"I","30","regular","30","3","0",FALSE,FALSE
"I31","Half-Way Houses for Offenders & Ex-Offenders","Community-based residential facilities which allow adult and juvenile offenders with satisfactory behavior to transition back to the community during the last months of their sentences or which provide congregate living arrangements and supportive services for ex-offenders to help them successfully reenter the community and become self-sufficient. These facilities are known as work release centers, prerelease centers, rehabilitation centers and group homes for juvenile offenders or status offenders.",5,"I","31","regular","31","3","1",FALSE,FALSE
"I40","Rehabilitation Services for Offenders","Organizations that provide counseling, job seeking assistance and other nonresidential supportive services that help adult and/or juvenile offenders re-integrate into the community following their release from a correctional facility. Use this code for rehabilitation services not specified below.",5,"I","40","regular","40","4","0",FALSE,FALSE
"I43","Inmate Support","Organizations that provide emotional support, friendship, advice and guidance or other types of support for inmates while they are incarcerated and/or which facilitate contact between inmates and family members.",5,"I","43","regular","43","4","3",FALSE,FALSE
"I44","Prison Alternatives","Organizations that provide intensive treatment and rehabilitation services for adult or juvenile offenders. The focus of the service is on rehabilitation of the offender rather than preparation for release into the community.",5,"I","44","regular","44","4","4",FALSE,FALSE
"I50","Administration of Justice","Organizations that are concerned with court administration; court reform including the rights and privileges of prisoners, incarceration alternatives and other criminal justice issues; and alternatives to litigation.",5,"I","50","regular","50","5","0",FALSE,FALSE
"I51","Dispute Resolution & Mediation","Organizations that provide mediation services which help individuals who are having a dispute discuss the situation and reach an agreement without resorting to litigation.",5,"I","51","regular","51","5","1",FALSE,FALSE
"I60","Law Enforcement","Law enforcement associations, advisory councils or other nonprofit community groups that provide advice and direction for police departments; auxiliaries or other community-based organizations that collect and disburse money in aid of injured police officers or in support of local law enforcement activities; and other nonprofit groups that have an interest in law enforcement issues.",5,"I","60","regular","60","6","0",FALSE,FALSE
"I70","Protection Against Abuse","Organizations that attempt to reduce the incidence of child abuse, elder abuse and spouse abuse in family settings through educational interventions which may focus on children of various ages, parents, people who work with families and/or the community at large.",5,"I","70","regular","70","7","0",FALSE,FALSE
"I71","Spouse Abuse Prevention","Organizations that deal specifically with the prevention of domestic violence through educational interventions which may focus on batterers, people at risk for domestic violence, people who work with battered women and/or the community at large.",5,"I","71","regular","71","7","1",FALSE,FALSE
"I72","Child Abuse Prevention","Organizations that deal specifically with the prevention of child abuse including incest through educational interventions which may focus on children of various ages, parents, people who work with families and/or the community at large.",5,"I","72","regular","72","7","2",FALSE,FALSE
"I73","Sexual Abuse Prevention","Organizations that deal specifically with the prevention of sexual assault (for adults and children).",5,"I","73","regular","73","7","3",FALSE,FALSE
"I80","Legal Services","Organizations that provide general legal aid regarding criminal and/or civil matters at little or no cost for individuals who are economically disadvantaged.",5,"I","80","regular","80","8","0",FALSE,FALSE
"I83","Public Interest Law","Organizations that primarily handle class action litigation and lawsuits related to issues of interest to the public in general rather than assisting individuals.",5,"I","83","regular","83","8","3",FALSE,FALSE
"I99","Crime & Legal-Related N.E.C.","Use this code for organizations that clearly provide crime and legal related services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.",5,"I","99","regular","99","9","9",FALSE,FALSE
"J01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Employment, Job Related major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures.",5,"J","01","speciality","01","0","1",FALSE,FALSE
"J02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Employment, Job Related major group area.",5,"J","02","speciality","02","0","2",FALSE,FALSE
"J03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Employment, Job Related major group area.",5,"J","03","speciality","03","0","3",FALSE,FALSE
"J05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Employment, Job Related major group area.",5,"J","05","speciality","05","0","5",FALSE,FALSE
"J11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the Employment major group area.",5,"J","11","speciality","11","0","1",FALSE,FALSE
"J12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Employment, Job Related major group area.",5,"J","12","speciality","12","0","2",FALSE,FALSE
"J19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Employment, Job Related major group area.",5,"J","19","speciality","19","0","9",FALSE,FALSE
"J20","Employment Preparation & Procurement","Organizations that help people prepare for, find, secure and retain suitable employment. Use this code for organizations that provide a wide range of employment services or those that offer employment-related services not specified below. Includes: Employment placement agencies; Job development organizations including those for youth and people with disabilities; Retraining; and Senior Community Service Employment Programs",5,"J","20","regular","20","2","0",FALSE,FALSE
"J21","Vocational Counseling","Organizations that administer tests which measure the skills, abilities and interests of job seekers and help them make appropriate decisions regarding an occupational field or position.",5,"J","21","regular","21","2","1",FALSE,FALSE
"J22","Job Training","Organizations that train people in the specific skills they will need to obtain employment in a particular industry or which provide work experience for youth or others who have no employment history.",5,"J","22","regular","22","2","2",FALSE,FALSE
"J30","Vocational Rehabilitation","Organizations that provide job training and employment experiences for individuals with disabilities, people who have been disabled by use of drugs or alcohol or people with emotional difficulties, with the objective of helping them to become economically self-sufficient.",5,"J","30","regular","30","3","0",FALSE,FALSE
"J32","Goodwill Industries","Goodwill Industries sites.",5,"J","32","regular","32","3","2",FALSE,FALSE
"J33","Sheltered Employment","Organizations that provide paid employment opportunities in a controlled, protected environment for people with disabilities who are unable to obtain competitive employment. Also included are work activity centers which provide personal and social development opportunities for participants who have demonstrated inconsequential production capacity.",5,"J","33","regular","33","3","3",FALSE,FALSE
"J40","Labor Unions","Organizations that work to promote the rights of employees to fair remuneration and safe working conditions \[Note: These are generally section 501(c)(5) organizations\].",5,"J","40","regular","40","4","0",FALSE,FALSE
"J99","Employment N.E.C.","Use this code for organizations that clearly provide employment and job related services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.",5,"J","99","regular","99","9","9",FALSE,FALSE
"K01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Food, Agriculture, and Nutrition major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures.",5,"K","01","speciality","01","0","1",FALSE,FALSE
"K02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Food, Agriculture, and Nutrition major group area.",5,"K","02","speciality","02","0","2",FALSE,FALSE
"K03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Food, Agriculture, and Nutrition major group area.",5,"K","03","speciality","03","0","3",FALSE,FALSE
"K05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Food, Agriculture, and Nutrition major group area.",5,"K","05","speciality","05","0","5",FALSE,FALSE
"K11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the Food, Agriculture & Nutrition major group area.",5,"K","11","speciality","11","0","1",FALSE,FALSE
"K12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Food, Agriculture, and Nutrition major group area.",5,"K","12","speciality","12","0","2",FALSE,FALSE
"K19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Food, Agriculture and Nutrition major group area.",5,"K","19","speciality","19","0","9",FALSE,FALSE
"K20","Agricultural Programs","Organizations that focus on the development and improvement of food resources or food procurement through information and technical assistance for agricultural establishments and individuals in rural or urban settings. Use this code for organizations that provide a wide range of agricultural services or those that offer services to support the agricultural sector not specified below.",5,"K","20","regular","20","2","0",FALSE,FALSE
"K25","Farmland Preservation","Organizations such as land trusts that work to ensure that farmland is preserved for farming purposes rather than freed for development or environmental quality purposes.",5,"K","25","regular","25","2","5",FALSE,FALSE
"K26","Animal Husbandry","Organizations that provide information, technical assistance and support for individuals or commercial establishments that are engaged in the keeping, grazing, feeding and/or sale of livestock. \[Note: These organizations are typically found in section 501(c)(5).\]",5,"K","26","regular","26","2","6",FALSE,FALSE
"K28","Farm Bureaus & Granges","Organizations whose members are farmers or ranchers who have affiliated for the purpose of representing the interests of agricultural producers and rural communities. \[Note: These organizations are typically found in section 501(c)(5).\]",5,"K","28","regular","28","2","8",FALSE,FALSE
"K2A","Other Vegetable (except Potato) and Melon Farming","NULL",5,"K","2A","regular","2A","2","A",FALSE,FALSE
"K2B","Soil Preparation, Planting, and Cultivating","NULL",5,"K","2B","regular","2B","2","B",FALSE,FALSE
"K2C","Wineries","NULL",5,"K","2C","regular","2C","2","C",FALSE,FALSE
"K30","Food Programs","Organizations that provide access to free or low-cost food products to children, seniors, or indigents by distributing groceries, providing meals, providing facilities for storing food or making available land on which people can grow their own produce. Use this code for organizations that provide a wide range of food services or those that offer food-related services not specified below.",5,"K","30","regular","30","3","0",FALSE,FALSE
